cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
64079255,PI,Teresina,Novo Horizonte,Rua Três,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:03.260Z
64085300,PI,Teresina,São Sebastião,Conjunto Todos os Santos,-5.08917,-42.80194,brasilapi,open-meteo,2026-02-23T23:50:03.394Z
64100000,PI,Barras,,,-4.2446153,-42.2920241,brasilapi,brasilapi,2026-02-23T23:50:03.455Z
64235000,PI,Cocal,,,-3.4691882,-41.555851,brasilapi,brasilapi,2026-02-23T23:50:03.581Z
64255000,PI,Pedro II,,,-4.4252673,-41.458407,brasilapi,brasilapi,2026-02-23T23:50:03.644Z
64260000,PI,Piripiri,,,-4.2732339,-41.7785173,brasilapi,brasilapi,2026-02-23T23:50:03.776Z
64280000,PI,Campo Maior,,,-4.8339574,-42.1739786,brasilapi,brasilapi,2026-02-23T23:50:03.844Z
64283000,PI,Boqueirão do Piauí,,,-4.48667,-42.07389,brasilapi,open-meteo,2026-02-23T23:50:04.193Z
64330000,PI,São Miguel do Tapuio,,,-5.5015262,-41.3214276,brasilapi,brasilapi,2026-02-23T23:50:04.029Z
64500000,PI,Oeiras,,,-7.0174887,-42.1314478,brasilapi,brasilapi,2026-02-23T23:50:04.217Z
64565000,PI,Itainópolis,,,-7.4483425,-41.4796645,brasilapi,brasilapi,2026-02-23T23:50:04.388Z
64585000,PI,Simões,,,-7.5970469,-40.8176003,brasilapi,brasilapi,2026-02-23T23:50:04.403Z
64608081,PI,Picos,Parque de Exposição,Rua Santo Antonio de Lisboa,-7.07694,-41.46694,brasilapi,open-meteo,2026-02-23T23:50:04.760Z
64680000,PI,Padre Marcos,,,-7.3534527,-40.9063953,brasilapi,brasilapi,2026-02-23T23:50:04.591Z
64750000,PI,Paulistana,,,-8.1389174,-41.1380533,brasilapi,brasilapi,2026-02-23T23:50:04.791Z
64800014,PI,Floriano,Centro,Rua Godofredo Messias,-6.76694,-43.0225,brasilapi,open-meteo,2026-02-23T23:50:05.151Z
64808750,PI,Floriano,Meladão,Rua Francisco Soares,-6.7961703,-43.0456556,brasilapi,brasilapi,2026-02-23T23:50:04.977Z
64900000,PI,Bom Jesus,,,-9.07444,-44.35861,brasilapi,open-meteo,2026-02-23T23:50:05.356Z
64980000,PI,Corrente,,,-10.4401356,-45.1627472,brasilapi,brasilapi,2026-02-23T23:50:05.341Z
65058637,MA,São Luís,Santa Clara,Rua Bom Jesus,-2.6601069,-44.2599493,brasilapi,brasilapi,2026-02-23T23:50:05.524Z
65068500,MA,São Luís,Turu,Avenida Mário Andreazza,-2.5008798,-44.234704,brasilapi,brasilapi,2026-02-23T23:50:05.542Z
65076764,MA,São Luís,São Francisco,1ª Travessa da Croa,-2.5163864,-44.3059497,brasilapi,brasilapi,2026-02-23T23:50:05.713Z
65081440,MA,São Luís,Vila Embratel,Avenida Orquídeas,-2.5784811,-44.2990071,brasilapi,brasilapi,2026-02-23T23:50:05.740Z
65082183,MA,São Luís,Alto Esperança,Rua do Areial,-2.52972,-44.30278,brasilapi,open-meteo,2026-02-23T23:50:06.108Z
65110000,MA,São José de Ribamar,,,-2.5609115,-44.0559509,brasilapi,brasilapi,2026-02-23T23:50:05.959Z
65113493,MA,São José de Ribamar,Moropóia,Travessa do Poço,-2.55572,-44.05992,viacep,open-meteo,2026-02-23T23:50:37.924Z
65115240,MA,São José de Ribamar,Riozinho,Via de Acesso ao Village dos Pássaros,-2.55572,-44.05992,brasilapi,open-meteo,2026-02-23T23:50:06.553Z
65123895,MA,São José de Ribamar,Miritíua,Rua Sampaio Corrêa,-2.55572,-44.05992,brasilapi,open-meteo,2026-02-23T23:50:06.743Z
65130000,MA,Paço do Lumiar,,,-2.51894,-44.10852,brasilapi,open-meteo,2026-02-23T23:50:07.130Z
65500000,MA,Chapadinha,,,-3.74167,-43.36028,brasilapi,open-meteo,2026-02-23T23:50:07.505Z
65609620,MA,Caxias,Salobro,Rua do Parnazio,-4.85889,-43.35611,brasilapi,open-meteo,2026-02-23T23:50:07.876Z
65620000,MA,Coelho Neto,,,-4.2535154,-43.0149321,brasilapi,brasilapi,2026-02-23T23:50:08.110Z
65633220,MA,Timon,Parque Alvorada,Rua Adamastor Oliveira,-5.1306533,-42.8349674,brasilapi,brasilapi,2026-02-23T23:50:08.305Z
65700000,MA,Bacabal,,,-4.2318132,-44.781167,brasilapi,brasilapi,2026-02-23T23:50:08.496Z
65908009,MA,Imperatriz,Vila Ipiranga,Rua B,-5.52639,-47.49167,brasilapi,open-meteo,2026-02-23T23:50:08.940Z
65919010,MA,Imperatriz,Santa Rita,Rua Padre Cícero,-5.5018953,-47.4880912,brasilapi,brasilapi,2026-02-23T23:50:09.137Z
65930000,MA,Açailândia,,,-4.9515026,-47.500732,brasilapi,brasilapi,2026-02-23T23:50:09.327Z
65943000,MA,Formosa da Serra Negra,,,-6.4437601,-46.1905789,brasilapi,brasilapi,2026-02-23T23:50:09.518Z
66087810,PA,Belém,Pedreira,Avenida Doutor Freitas,-1.4230192,-48.4572731,brasilapi,brasilapi,2026-02-23T23:50:09.715Z
66613850,PA,Belém,Souza,Passagem Tito Franco,-1.45583,-48.50444,brasilapi,open-meteo,2026-02-23T23:50:10.092Z
66635110,PA,Belém,Parque Verde,Rodovia Augusto Montenegro,-1.3688275,-48.4458738,brasilapi,brasilapi,2026-02-23T23:50:10.284Z
